targetName	mir-10602	mir-10870	mir-11980	mir-12058	mir-1357	mir-284	mir-5702	mir-92	mir-921	mir-9344	mir-s1	mir1511	mir156	mir159	mir162	mir164	mir165	mir166	mir167	mir168	mir169	mir170	mir171	mir172	mir2111	mir319	mir3267	mir3627	mir3630	mir384	mir390	mir393	mir395	mir396	mir397	mir398	mir399	mir403	mir408	mir472	mir477	mir479	mir482	mir5054	mir5072	mir5083	mir535	mir5653	mir6478	mir7122	mir7528	mir7757	mir8019	mir8175	mir827	mir858	mir9560	novel	tasi
mir-10602	2.0																																																										
mir-10870		1.0																																																									
mir-11980			2.0																																																								
mir-12058				2.0																																																							
mir-1357					8.0																																																						
mir-284						1.0																																																					
mir-921									2.0																																																		
mir-s1											1.0																																																
mir156													12.0																																														
mir159													60.0	206.0																																													
mir162															15.0																																												
mir164																3.0																																											
mir165																	209.0																																										
mir166																	282.0	84.0																																									
mir167																			109.0																																								
mir168																				68.0																																							
mir169																					23.0																																						
mir170																						1.0																																					
mir171																						8.0	28.0																																				
mir172																								51.0																																			
mir2111																									1.0																																		
mir319													2.0	24.0												6.0																																	
mir3627																											1.0	2.0																															
mir3630																													5.0																														
mir384																														1.0																													
mir390																															27.0																												
mir393																																9.0																											
mir395																																	45.0																										
mir396																																		74.0																									
mir397																																			24.0																								
mir398																																				20.0																							
mir399																																					21.0																						
mir403																																						16.0																					
mir408																																							15.0																				
mir4414																										1.0																																	
mir472																																								5.0																			
mir477																																									5.0																		
mir479																							5.0																			12.0																	
mir482																																								47.0			81.0																
mir5072																																													11.0														
mir5083																																														4.0													
mir5139												3.0																																															
mir5225																											1.0	2.0																															
mir535																																															39.0												
mir6478																																																	1.0										
mir7122																																																		16.0									
mir7528																																																			1.0								
mir7757																																																				1.0							
mir8019																																																					1.0						
mir8175																																																						10.0					
mir827																																																							3.0				
mir858																																																								49.0			
novel					1.0			1.0	2.0	12.0											7.0												1.0										3.0	1.0	4.0		2.0	16.0							1.0		1.0	639.0	30.0
tasi							1.0																																																			3.0	32.0
