targetName	mir-10602	mir-10870	mir-11980	mir-12058	mir-1357	mir-182	mir-183	mir-2478	mir-284	mir-5702	mir-5942	mir-6953	mir-92	mir-921	mir-9344	mir-9452	mir-9993	mir-s1	mir10516	mir1511	mir156	mir159	mir160	mir162	mir164	mir165	mir166	mir167	mir168	mir169	mir170	mir171	mir172	mir2111	mir319	mir3267	mir3627	mir3630	mir384	mir390	mir393	mir395	mir396	mir397	mir398	mir399	mir403	mir408	mir472	mir477	mir479	mir482	mir5054	mir5072	mir5083	mir5139	mir5225	mir530	mir535	mir5653	mir6478	mir7122	mir7528	mir7757	mir7782	mir8019	mir8175	mir827	mir858	mir9560	novel	tasi
mir-10602	2.0																																																																							
mir-10870		1.0																																																																						
mir-11980			2.0																																																																					
mir-12058				2.0																																																																				
mir-1357					48.0																																																																			
mir-183							1.0																																																																	
mir-284									1.0																																																															
mir-6953												1.0																																																												
mir-921														7.0																																																										
mir-9452																																																																								1.0
mir-9993																	2.0																																																							
mir-s1																		1.0																																																						
mir1511																				60.0																																													1.0							
mir156																					29.0	4.0																																																		
mir159																					176.0	499.0																																																		
mir160																							2.0																																																	
mir162																								15.0																																																
mir164																									3.0																																															
mir165																										360.0	13.0																																													
mir166																										475.0	318.0																																													
mir167																												175.0																																												
mir168																													68.0																																											
mir169																														54.0																																									3.0	
mir170																															2.0	1.0																																								
mir171																															14.0	58.0																			7.0																					
mir172																																	283.0																																							
mir2111																																		1.0																																						
mir319																					23.0	52.0													17.0																																					
mir3627																																				2.0	4.0																																			
mir3630																																						7.0																																		
mir384																																							1.0																																	
mir390																																								31.0																																
mir393																																									11.0																															
mir395																																										94.0																													2.0	
mir396																																											178.0																													
mir397																																												24.0																												
mir398																																													47.0																											
mir399																																														124.0																										
mir403																																															24.0																									
mir408																																																15.0																								
mir4414																																			1.0																																					
mir472																																																	7.0																							
mir477																																																		11.0																						
mir479																																5.0																			12.0																					
mir482																																																	61.0			111.0																				
mir5072																																																						126.0																	7.0	
mir5083																																																							4.0																	
mir5139																				63.0																																				28.0																
mir5225																																				1.0	3.0																																		1.0	
mir530																																																										2.0														
mir535																																																											135.0													
mir6478																																																													1.0											
mir7122																																																														16.0										
mir7528																																																															1.0									
mir7757																																																																1.0								
mir7782																				1.0																																																				
mir8019																																																																		1.0						
mir8175																																																																			36.0					
mir827																																																																				3.0				
mir858																																																																					143.0			
novel					4.0	1.0	1.0	1.0			1.0	3.0	1.0	26.0	105.0		1.0													22.0						1.0	3.0					7.0				1.0						3.0	5.0	25.0			1.0		14.0	193.0								1.0		1.0	26867.0	575.0
tasi										1.0					2.0	1.0			2.0																																																				23.0	390.0
